label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
conv,64,12406954,157480646,24650023,2965879,665,0.07507110738339622,0.06126228230975251,0.23317229822470104,0.10845633858381058,0.17964747079264357
conv,128,12566603,573413442,23584269,3263612,765,0.1320249508983345,0.017614954716170243,0.0036015573772677544,0.27534820110962305,0.008890107904511162
conv,256,12610011,2524161670,26475288,3613368,1071,0.05386628403134625,0.10179218687512152,0.21932719040212126,0.2895608210893679,0.3388652588057628
conv,512,13207955,10254375474,25295970,2944501,1620,0.02505301563207913,0.068592535725545,0.18368572869109137,0.11853836979148266,0.5219211946478515
conv,1024,14154435,40068097385,22205725,2761940,1170,0.02829980518398915,0.018329083768810664,0.1712300908863568,0.002362129576384574,0.21713943935613148
conv,2048,13514263,158260001595,22653551,2993274,1282,0.1209964865518369,0.017588728865854074,0.044806205823229,0.0576784914215095,0.22664839791516508
conv,4096,37597729,614760207272,21688517,2804842,1110,0.378232695037724,0.00012683689504741952,0.01027050350152282,0.015406999749930666,0.3573975007940687
conv,8192,61466170,2460594700893,24409763,2767330,1563,0.14890626294786174,0.00037754663691762523,0.10854852527894658,0.004730716541252754,0.5459001418492629
matmul,64,13795463,338158,8620433,532308,32,0.32330172825668296,0.07165025386251549,0.010678621149161075,0.06704998381568675,0.017673987832335484
matmul,128,15389276,3295188,8066936,664622,35,0.44225542947790575,0.18278929299220803,0.1531587552839635,0.2738609828046209,0.03237478144988556
matmul,256,12425452,25544642,9235130,849407,35,0.0353800912925833,0.034928893203018244,0.24682277591942703,0.3087706487350446,0.06474956289977112
matmul,512,11410073,190156926,8829500,524748,32,0.017623629539676233,0.1092321965921811,0.17109227221833426,0.08687265161176438,0.017856193892462652
matmul,1024,13603994,3126985955,7352216,611103,32,0.20742831776292492,0.014657863757300006,0.13478389022555906,0.1669257057387868,0.2893356505868944
matmul,2048,12214538,21751856096,6963177,641718,29,0.005254471176511956,0.02299160524687685,0.07182320013276686,0.21674815505490733,0.19975449808235168
matmul,4096,12501826,879362067389,9189589,611803,30,0.02251152861009239,0.014068490197874303,0.11831153450469167,0.28329550149121885,0.1795946917593294
concat,64,12462164,3997,6511940,594717,25,0.15600030067352832,0.016564617717610988,0.08200268876091762,0.24908707322702597,0.08
concat,128,19560682,13288,6699667,601974,24,0.2082826956338311,0.06712306853356709,0.10272530781651755,0.4459526681815656,0.13210480494510898
concat,256,18959952,46303,6737983,420160,26,0.24467547573916174,0.4172546420950521,0.10989203957547104,0.2023768641348882,0.1948709407384893
concat,512,18847406,103152,8184943,538134,29,0.06461635144178465,0.002266527820920258,0.2649484085286601,0.6776701062824406,0.18564844541413827
concat,1024,12368024,577503,9944121,335219,26,0.040314899962519274,0.09822366106244662,0.5404459396806844,0.012618041623262048,0.1948709407384893
